President from 1909-2023,Name included in top 20 baby names during their Term,Frequency,,
William H. Taft,Yes,"	92479",,
Woodrow Wilson,No,0,,
Warren Harding,No,0,,
Calvin Coolidge,No,0,,
Herbert Hoover,No,0,,
Franklin D. Roosevelt,No,0,,
Harry S. Truman,No,0,,
Dwight Eisenhower,No,0,,
John F. Kennedy,Yes,158826,,
Lyndon Johnson,No,0,,
Richard Nixon,Yes,130396,,
Gerald Ford,No,0,,
Jimmy Carter,No,0,,
Ronald Reagan,No,0,,
Geoge H.W. Bush,No,0,,
William Clinton,No,0,,
George W. Bush,No,0,,
Barack Obama,No ,0,,
Donald J. Trump,No,0,,
Joseph R. Biden,No,0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,